Series Description,Federal funds effective rate
Unit:,Percent:_Per_Year
Multiplier:,1
Currency:,NA
Unique Identifier: ,H15/H15/RIFSPFF_N.M
Time Period,RIFSPFF_N.M
Jan-60,3.99
Feb-60,3.97
Mar-60,3.84
Apr-60,3.92
May-60,3.85
Jun-60,3.32
Jul-60,3.23
Aug-60,2.98
Sep-60,2.6
Oct-60,2.47
Nov-60,2.44
Dec-60,1.98
Jan-61,1.45
Feb-61,2.54
Mar-61,2.02
Apr-61,1.49
May-61,1.98
Jun-61,1.73
Jul-61,1.17
Aug-61,2
Sep-61,1.88
Oct-61,2.26
Nov-61,2.61
Dec-61,2.33
Jan-62,2.15
Feb-62,2.37
Mar-62,2.85
Apr-62,2.78
May-62,2.36
Jun-62,2.68
Jul-62,2.71
Aug-62,2.93
Sep-62,2.9
Oct-62,2.9
Nov-62,2.94
Dec-62,2.93
Jan-63,2.92
Feb-63,3
Mar-63,2.98
Apr-63,2.9
May-63,3
Jun-63,2.99
Jul-63,3.02
Aug-63,3.49
Sep-63,3.48
Oct-63,3.5
Nov-63,3.48
Dec-63,3.38
Jan-64,3.48
Feb-64,3.48
Mar-64,3.43
Apr-64,3.47
May-64,3.5
Jun-64,3.5
Jul-64,3.42
Aug-64,3.5
Sep-64,3.45
Oct-64,3.36
Nov-64,3.52
Dec-64,3.85
Jan-65,3.9
Feb-65,3.98
Mar-65,4.04
Apr-65,4.09
May-65,4.1
Jun-65,4.04
Jul-65,4.09
Aug-65,4.12
Sep-65,4.01
Oct-65,4.08
Nov-65,4.1
Dec-65,4.32
Jan-66,4.42
Feb-66,4.6
Mar-66,4.65
Apr-66,4.67
May-66,4.9
Jun-66,5.17
Jul-66,5.3
Aug-66,5.53
Sep-66,5.4
Oct-66,5.53
Nov-66,5.76
Dec-66,5.4
Jan-67,4.94
Feb-67,5
Mar-67,4.53
Apr-67,4.05
May-67,3.94
Jun-67,3.98
Jul-67,3.79
Aug-67,3.9
Sep-67,3.99
Oct-67,3.88
Nov-67,4.13
Dec-67,4.51
Jan-68,4.6
Feb-68,4.71
Mar-68,5.05
Apr-68,5.76
May-68,6.11
Jun-68,6.07
Jul-68,6.02
Aug-68,6.03
Sep-68,5.78
Oct-68,5.91
Nov-68,5.82
Dec-68,6.02
Jan-69,6.3
Feb-69,6.61
Mar-69,6.79
Apr-69,7.41
May-69,8.67
Jun-69,8.9
Jul-69,8.61
Aug-69,9.19
Sep-69,9.15
Oct-69,9
Nov-69,8.85
Dec-69,8.97
Jan-70,8.98
Feb-70,8.98
Mar-70,7.76
Apr-70,8.1
May-70,7.94
Jun-70,7.6
Jul-70,7.21
Aug-70,6.61
Sep-70,6.29
Oct-70,6.2
Nov-70,5.6
Dec-70,4.9
Jan-71,4.14
Feb-71,3.72
Mar-71,3.71
Apr-71,4.15
May-71,4.63
Jun-71,4.91
Jul-71,5.31
Aug-71,5.56
Sep-71,5.55
Oct-71,5.2
Nov-71,4.91
Dec-71,4.14
Jan-72,3.5
Feb-72,3.29
Mar-72,3.83
Apr-72,4.17
May-72,4.27
Jun-72,4.46
Jul-72,4.55
Aug-72,4.8
Sep-72,4.87
Oct-72,5.04
Nov-72,5.06
Dec-72,5.33
Jan-73,5.94
Feb-73,6.58
Mar-73,7.09
Apr-73,7.12
May-73,7.84
Jun-73,8.49
Jul-73,10.4
Aug-73,10.5
Sep-73,10.78
Oct-73,10.01
Nov-73,10.03
Dec-73,9.95
Jan-74,9.65
Feb-74,8.97
Mar-74,9.35
Apr-74,10.51
May-74,11.31
Jun-74,11.93
Jul-74,12.92
Aug-74,12.01
Sep-74,11.34
Oct-74,10.06
Nov-74,9.45
Dec-74,8.53
Jan-75,7.13
Feb-75,6.24
Mar-75,5.54
Apr-75,5.49
May-75,5.22
Jun-75,5.55
Jul-75,6.1
Aug-75,6.14
Sep-75,6.24
Oct-75,5.82
Nov-75,5.22
Dec-75,5.2
Jan-76,4.87
Feb-76,4.77
Mar-76,4.84
Apr-76,4.82
May-76,5.29
Jun-76,5.48
Jul-76,5.31
Aug-76,5.29
Sep-76,5.25
Oct-76,5.02
Nov-76,4.95
Dec-76,4.65
Jan-77,4.61
Feb-77,4.68
Mar-77,4.69
Apr-77,4.73
May-77,5.35
Jun-77,5.39
Jul-77,5.42
Aug-77,5.9
Sep-77,6.14
Oct-77,6.47
Nov-77,6.51
Dec-77,6.56
